STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,WLD,World,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,71.46,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CCK,Cocos (Keeling) Islands (Aus.),OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,72.67,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CXR,Christmas Island,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,69.92,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,NFK,Norfolk Island (Aus.),OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,68.0,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,NCL,New Caledonia,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,72.56,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,VUT,Vanuatu,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,69.89,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLB,Solomon Islands,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,70.31,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,PLW,Palau,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,72.8,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FSM,"Micronesia, Fed. Sts.",OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,69.05,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,NRU,Nauru,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,70.53,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,MHL,Marshall Islands,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,81.62,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,MNP,Northern Mariana Islands,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,62.37,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TWN,"Taiwan, China",OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,68.89,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,PHL,Philippines,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,62.42,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,75.01,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,PNG,Papua New Guinea,OHI_OHI_GIS,Ocean Health Global Index Scores,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,IX_0T100,Score 0-100,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,73.16,OHI_OHI,Ocean Health Index (OHI),0,Units,IX,Index,602,CCYY,,A,Normal value,PU,Public
