STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,19.239637394705404,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,10741.024224826564,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,1224126.4667523156,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AIA,Anguilla,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,69.88141167783527,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALA,Aland Islands,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,2582.830752175983,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,16472.161126479325,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AND,Andorra,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,120.08239906931207,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARE,United Arab Emirates,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,595.952972827588,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,1107734.5763674572,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WRI_GFW_TREE_COVER_GAIN,Tree cover gain (20 year cummulative),_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,12255.932624601835,WRI_GFW,Global Forest Watch,0,Units,NUMBER,Number (real number),602,CCYY,This indicator is aggregated over time from the source. TIME_PERIOD refers to the last date of the period covering 2000 - 2023,A,Normal value,PU,Public
